<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.08.01	00:00:00	2445.725	2446.797	2445.372	2445.700	1890	0	179
2024.08.01	00:15:00	2445.731	2447.012	2445.203	2445.350	1335	0	179
2024.08.01	00:30:00	2445.388	2447.948	2445.293	2447.721	1343	0	179
2024.08.01	00:45:00	2447.757	2449.450	2447.173	2447.575	1790	0	180
2024.08.01	01:00:00	2447.539	2453.052	2446.053	2452.029	4153	0	179
2024.08.01	01:15:00	2452.060	2458.378	2450.631	2457.713	3590	0	179
2024.08.01	01:30:00	2457.714	2457.974	2452.326	2454.256	3574	0	179
2024.08.01	01:45:00	2454.219	2456.617	2450.410	2451.357	2544	0	179
2024.08.01	02:00:00	2451.407	2451.459	2447.960	2448.850	2726	0	179
2024.08.01	02:15:00	2448.904	2451.150	2448.138	2449.475	1763	0	180
2024.08.01	02:30:00	2449.515	2449.997	2443.801	2443.965	2263	0	179
2024.08.01	02:45:00	2443.964	2444.126	2437.256	2441.167	3529	0	179
2024.08.01	03:00:00	2441.202	2443.122	2439.321	2443.100	2427	0	179
2024.08.01	03:15:00	2443.055	2443.542	2440.718	2443.209	1953	0	180
2024.08.01	03:30:00	2443.174	2444.630	2442.206	2442.756	1421	0	179
2024.08.01	03:45:00	2442.720	2444.400	2442.214	2442.777	1137	0	180
2024.08.01	04:00:00	2442.769	2444.003	2442.418	2443.821	1165	0	180
2024.08.01	04:15:00	2443.822	2445.825	2443.699	2445.825	1158	0	180
2024.08.01	04:30:00	2445.760	2446.776	2444.706	2445.298	1462	0	180
2024.08.01	04:45:00	2445.292	2446.017	2443.890	2444.239	1165	0	179
2024.08.01	05:00:00	2444.212	2445.366	2443.541	2444.199	1240	0	180
2024.08.01	05:15:00	2444.246	2447.994	2443.986	2446.556	1357	0	180
2024.08.01	05:30:00	2446.523	2447.589	2444.600	2446.562	2094	0	179
2024.08.01	05:45:00	2446.558	2447.241	2444.304	2446.906	1781	0	180
2024.08.01	06:00:00	2446.860	2448.807	2445.033	2446.025	2064	0	180
2024.08.01	06:15:00	2446.060	2448.392	2445.581	2446.495	2095	0	179
2024.08.01	06:30:00	2446.493	2447.171	2444.087	2445.414	2155	0	179
2024.08.01	06:45:00	2445.425	2446.540	2444.345	2444.795	2192	0	179
2024.08.01	07:00:00	2444.835	2444.835	2441.583	2442.567	2207	0	179
2024.08.01	07:15:00	2442.549	2444.877	2442.384	2443.229	1856	0	180
2024.08.01	07:30:00	2443.223	2443.829	2442.208	2442.836	1677	0	179
2024.08.01	07:45:00	2442.838	2442.956	2439.871	2440.325	1578	0	179
2024.08.01	08:00:00	2440.282	2442.323	2439.728	2440.478	2269	0	179
2024.08.01	08:15:00	2440.445	2441.298	2436.293	2436.689	2075	0	180
2024.08.01	08:30:00	2436.675	2437.732	2433.285	2434.299	2242	0	179
2024.08.01	08:45:00	2434.342	2435.636	2433.144	2433.855	1856	0	179
2024.08.01	09:00:00	2433.849	2435.044	2431.476	2433.312	2030	0	179
2024.08.01	09:15:00	2433.309	2434.945	2432.711	2432.879	1717	0	180
2024.08.01	09:30:00	2432.909	2434.453	2432.052	2433.210	1927	0	179
2024.08.01	09:45:00	2433.249	2433.397	2430.165	2432.951	1622	0	180
2024.08.01	10:00:00	2433.003	2435.304	2431.970	2434.345	1742	0	179
2024.08.01	10:15:00	2434.301	2436.749	2433.799	2435.794	1414	0	180
2024.08.01	10:30:00	2435.679	2436.073	2434.137	2435.154	1460	0	180
2024.08.01	10:45:00	2435.196	2436.308	2434.347	2435.186	1524	0	179
2024.08.01	11:00:00	2435.108	2436.132	2434.332	2435.647	1602	0	179
2024.08.01	11:15:00	2435.692	2438.841	2435.016	2438.713	1539	0	179
2024.08.01	11:30:00	2438.713	2438.713	2436.199	2438.479	1612	0	179
2024.08.01	11:45:00	2438.442	2442.888	2438.168	2440.741	1903	0	179
2024.08.01	12:00:00	2440.723	2443.855	2440.278	2443.175	2049	0	179
2024.08.01	12:15:00	2443.196	2446.029	2442.958	2444.333	2504	0	179
2024.08.01	12:30:00	2444.210	2454.872	2444.164	2453.074	4611	0	179
2024.08.01	12:45:00	2453.169	2453.843	2448.127	2450.600	2937	0	179
2024.08.01	13:00:00	2450.718	2453.383	2448.421	2451.679	3868	0	179
2024.08.01	13:15:00	2451.629	2455.154	2450.782	2453.431	2853	0	179
2024.08.01	13:30:00	2453.474	2457.368	2450.859	2452.058	4944	0	179
2024.08.01	13:45:00	2452.102	2454.038	2448.843	2453.690	3798	0	179
2024.08.01	14:00:00	2453.699	2462.297	2446.778	2450.748	6779	0	179
2024.08.01	14:15:00	2450.715	2451.421	2443.147	2445.107	6584	0	179
2024.08.01	14:30:00	2445.181	2452.824	2445.124	2451.268	4829	0	179
2024.08.01	14:45:00	2451.315	2451.490	2443.792	2448.504	4777	0	179
2024.08.01	15:00:00	2448.467	2451.743	2444.242	2446.292	4215	0	179
2024.08.01	15:15:00	2446.278	2449.506	2445.111	2446.799	3739	0	179
2024.08.01	15:30:00	2446.828	2449.533	2444.490	2445.427	2830	0	179
2024.08.01	15:45:00	2445.389	2447.539	2442.065	2445.107	3461	0	179
2024.08.01	16:00:00	2445.183	2446.967	2443.423	2445.807	2826	0	179
2024.08.01	16:15:00	2445.716	2447.251	2443.414	2446.267	2299	0	179
2024.08.01	16:30:00	2446.316	2448.761	2445.194	2445.868	2087	0	179
2024.08.01	16:45:00	2445.871	2446.611	2443.382	2444.468	2343	0	179
2024.08.01	17:00:00	2444.457	2444.718	2436.715	2438.506	4003	0	179
2024.08.01	17:15:00	2438.535	2440.490	2436.460	2437.045	3049	0	179
2024.08.01	17:30:00	2437.088	2439.231	2435.733	2436.161	2151	0	179
2024.08.01	17:45:00	2436.201	2439.415	2436.113	2439.283	1742	0	180
2024.08.01	18:00:00	2439.240	2441.002	2437.915	2438.836	1775	0	179
2024.08.01	18:15:00	2438.849	2439.760	2434.879	2436.039	1919	0	179
2024.08.01	18:30:00	2435.998	2437.579	2434.899	2436.165	1710	0	179
2024.08.01	18:45:00	2436.183	2440.505	2435.535	2439.563	2001	0	179
2024.08.01	19:00:00	2439.529	2441.428	2438.306	2441.333	1725	0	179
2024.08.01	19:15:00	2441.284	2443.224	2440.144	2443.224	1449	0	179
2024.08.01	19:30:00	2443.234	2444.100	2442.265	2443.637	1393	0	180
2024.08.01	19:45:00	2443.658	2443.961	2441.993	2443.053	1525	0	179
2024.08.01	20:00:00	2443.021	2443.697	2442.541	2442.961	1554	0	179
2024.08.01	20:15:00	2442.916	2443.299	2441.721	2442.830	929	0	179
2024.08.01	20:30:00	2442.930	2443.214	2442.029	2443.020	950	0	179
2024.08.01	20:45:00	2442.989	2447.553	2442.941	2446.649	859	0	180
2024.08.01	22:00:00	2446.364	2447.365	2444.145	2444.364	946	0	179
2024.08.01	22:15:00	2444.394	2446.250	2443.631	2446.160	1014	0	179
2024.08.01	22:30:00	2446.186	2446.885	2444.047	2445.306	1069	0	179
2024.08.01	22:45:00	2445.308	2446.307	2444.519	2445.159	1018	0	180
2024.08.01	23:00:00	2445.148	2446.526	2444.660	2445.456	1000	0	179
2024.08.01	23:15:00	2445.460	2445.658	2444.124	2445.011	924	0	179
2024.08.01	23:30:00	2445.026	2446.313	2444.748	2445.252	940	0	179
2024.08.01	23:45:00	2445.224	2446.345	2444.652	2445.844	1026	0	180
2024.08.02	00:00:00	2445.886	2446.399	2443.902	2445.397	1488	0	180
2024.08.02	00:15:00	2445.406	2449.491	2445.339	2449.491	1605	0	180
2024.08.02	00:30:00	2449.453	2452.360	2448.558	2450.012	1900	0	179
2024.08.02	00:45:00	2450.003	2451.336	2448.991	2449.050	1573	0	179
2024.08.02	01:00:00	2449.045	2450.963	2437.121	2437.605	4032	0	179
2024.08.02	01:15:00	2437.678	2443.169	2434.872	2443.044	4494	0	179
2024.08.02	01:30:00	2443.076	2445.116	2439.313	2444.864	2857	0	179
2024.08.02	01:45:00	2444.892	2447.724	2442.672	2447.179	2237	0	179
2024.08.02	02:00:00	2447.209	2451.752	2446.673	2450.661	3096	0	179
2024.08.02	02:15:00	2450.659	2454.874	2450.214	2451.534	3056	0	179
2024.08.02	02:30:00	2451.524	2452.667	2448.152	2450.814	2462	0	179
2024.08.02	02:45:00	2450.815	2455.698	2450.342	2455.616	2136	0	179
2024.08.02	03:00:00	2455.535	2458.797	2454.143	2458.685	2968	0	179
2024.08.02	03:15:00	2458.634	2459.412	2454.466	2454.819	2139	0	179
2024.08.02	03:30:00	2454.835	2454.835	2451.575	2453.980	1610	0	179
2024.08.02	03:45:00	2454.060	2455.258	2452.398	2454.432	1382	0	179
2024.08.02	04:00:00	2454.422	2456.216	2454.191	2456.035	1205	0	179
2024.08.02	04:15:00	2456.086	2457.791	2456.018	2457.545	1198	0	179
2024.08.02	04:30:00	2457.539	2459.530	2455.850	2459.448	1403	0	179
2024.08.02	04:45:00	2459.451	2460.354	2457.357	2457.839	1383	0	179
2024.08.02	05:00:00	2457.873	2459.947	2457.739	2458.468	1430	0	180
2024.08.02	05:15:00	2458.514	2459.019	2457.627	2458.517	1178	0	180
2024.08.02	05:30:00	2458.478	2461.501	2457.657	2459.058	2051	0	179
2024.08.02	05:45:00	2459.079	2466.889	2459.012	2466.678	2672	0	179
2024.08.02	06:00:00	2466.720	2468.480	2462.406	2465.106	2733	0	179
2024.08.02	06:15:00	2465.148	2465.891	2462.991	2464.921	2378	0	179
2024.08.02	06:30:00	2464.963	2467.823	2463.104	2463.272	2191	0	180
2024.08.02	06:45:00	2463.280	2466.408	2462.592	2465.603	1765	0	180
2024.08.02	07:00:00	2465.507	2466.736	2462.407	2463.882	2251	0	179
2024.08.02	07:15:00	2463.892	2463.927	2460.680	2462.941	2293	0	179
2024.08.02	07:30:00	2462.968	2464.536	2461.360	2461.854	2063	0	179
2024.08.02	07:45:00	2461.888	2463.767	2460.216	2461.538	2068	0	179
2024.08.02	08:00:00	2461.586	2463.712	2460.944	2462.910	1871	0	179
2024.08.02	08:15:00	2462.865	2465.304	2462.305	2464.936	1766	0	180
2024.08.02	08:30:00	2464.964	2465.201	2461.900	2462.797	1718	0	179
2024.08.02	08:45:00	2462.758	2463.430	2461.697	2462.063	1391	0	180
2024.08.02	09:00:00	2462.101	2464.105	2461.759	2463.451	1417	0	179
2024.08.02	09:15:00	2463.430	2464.263	2460.955	2461.403	1516	0	180
2024.08.02	09:30:00	2461.447	2463.146	2460.858	2462.840	1464	0	179
2024.08.02	09:45:00	2462.829	2463.966	2461.934	2463.884	1235	0	180
2024.08.02	10:00:00	2463.912	2463.998	2460.829	2462.852	1514	0	180
2024.08.02	10:15:00	2462.848	2465.371	2462.293	2463.496	1503	0	179
2024.08.02	10:30:00	2463.536	2464.424	2462.105	2463.950	1545	0	179
2024.08.02	10:45:00	2463.936	2464.978	2463.088	2463.593	1389	0	179
2024.08.02	11:00:00	2463.632	2464.651	2460.765	2461.260	1906	0	179
2024.08.02	11:15:00	2461.297	2462.100	2459.303	2461.623	1756	0	179
2024.08.02	11:30:00	2461.582	2461.624	2457.531	2459.661	2073	0	179
2024.08.02	11:45:00	2459.642	2461.070	2457.947	2459.259	1708	0	179
2024.08.02	12:00:00	2459.216	2460.778	2457.328	2457.532	2087	0	179
2024.08.02	12:15:00	2457.571	2458.204	2455.781	2456.635	2382	0	179
2024.08.02	12:30:00	2456.567	2477.722	2456.567	2470.969	10627	0	179
2024.08.02	12:45:00	2471.002	2477.440	2470.301	2472.856	7784	0	179
2024.08.02	13:00:00	2472.828	2474.260	2460.782	2461.467	9277	0	179
2024.08.02	13:15:00	2461.499	2466.540	2455.717	2466.064	6735	0	179
2024.08.02	13:30:00	2465.965	2471.437	2462.631	2463.241	6980	0	179
2024.08.02	13:45:00	2463.214	2470.669	2462.819	2469.775	5823	0	179
2024.08.02	14:00:00	2469.824	2474.368	2466.920	2471.816	6132	0	179
2024.08.02	14:15:00	2471.780	2474.267	2463.874	2464.600	6364	0	179
2024.08.02	14:30:00	2464.631	2465.626	2434.138	2436.725	14710	0	179
2024.08.02	14:45:00	2436.756	2439.754	2428.187	2431.556	11542	0	179
2024.08.02	15:00:00	2431.502	2435.742	2411.494	2413.573	10640	0	179
2024.08.02	15:15:00	2413.542	2426.740	2410.794	2426.035	9570	0	179
2024.08.02	15:30:00	2425.988	2428.968	2421.115	2421.295	6378	0	179
2024.08.02	15:45:00	2421.358	2433.223	2419.536	2433.147	5958	0	179
2024.08.02	16:00:00	2433.068	2438.716	2429.393	2437.480	6803	0	179
2024.08.02	16:15:00	2437.515	2439.293	2432.414	2436.161	4202	0	179
2024.08.02	16:30:00	2436.110	2436.195	2427.519	2427.598	3538	0	179
